time,data,ambient,sensor
460808.0,36.0625,22.1875,tc1
460858.0,36.0625,22.1875,tc1
460908.0,36.0625,22.1875,tc1
460958.0,36.0625,22.1875,tc1
461008.0,36.0625,22.1875,tc1
461058.0,36.0625,22.1875,tc1
461108.0,36.0625,22.1875,tc1
461158.0,36.0625,22.1875,tc1
461208.0,36.125,22.1875,tc1
461258.0,36.125,22.1875,tc1
461308.0,36.125,22.1875,tc1
461358.0,36.125,22.1875,tc1
461409.0,36.0625,22.1875,tc1
461458.0,36.0625,22.1875,tc1
461508.0,36.0625,22.1875,tc1
461558.0,36.0625,22.1875,tc1
461608.0,36.125,22.1875,tc1
461658.0,36.125,22.1875,tc1
461708.0,36.125,22.1875,tc1
461758.0,36.125,22.1875,tc1
461808.0,36.125,22.1875,tc1
461858.0,36.0625,22.1875,tc1
461908.0,36.0625,22.1875,tc1
461958.0,36.0625,22.1875,tc1
462008.0,36.8125,22.1875,tc1
462058.0,36.8125,22.1875,tc1
462108.0,36.8125,22.1875,tc1
462158.0,36.8125,22.1875,tc1
462208.0,36.8125,22.1875,tc1
462259.0,36.8125,22.1875,tc1
462309.0,36.875,22.125,tc1
462359.0,36.875,22.125,tc1
462409.0,36.875,22.125,tc1
462459.0,36.875,22.125,tc1
462509.0,36.875,22.125,tc1
462559.0,36.875,22.125,tc1
462609.0,36.875,22.125,tc1
462659.0,36.875,22.125,tc1
462709.0,36.8125,22.125,tc1
462759.0,36.8125,22.125,tc1
462809.0,36.8125,22.1875,tc1
462859.0,36.8125,22.1875,tc1
462909.0,36.875,22.1875,tc1
462959.0,36.875,22.1875,tc1
463009.0,36.125,22.1875,tc1
463059.0,36.875,22.1875,tc1
463109.0,36.125,22.1875,tc1
463159.0,36.125,22.1875,tc1
463209.0,36.125,22.1875,tc1
463259.0,36.125,22.1875,tc1
463309.0,36.125,22.125,tc1
463359.0,36.125,22.125,tc1
463409.0,36.125,22.125,tc1
463459.0,36.125,22.125,tc1
463509.0,36.125,22.125,tc1
463560.0,36.0625,22.125,tc1
463610.0,36.0625,22.125,tc1
463659.0,36.0625,22.125,tc1
463709.0,36.0625,22.125,tc1
463760.0,36.0625,22.125,tc1
463810.0,36.0625,22.1875,tc1
463859.0,36.0625,22.1875,tc1
463910.0,36.0625,22.1875,tc1
463959.0,36.0625,22.1875,tc1
464010.0,36.125,22.1875,tc1
464060.0,36.125,22.1875,tc1
464110.0,36.125,22.1875,tc1
464160.0,36.125,22.1875,tc1
464210.0,36.125,22.1875,tc1
464260.0,36.125,22.1875,tc1
464310.0,36.125,22.1875,tc1
464360.0,36.125,22.1875,tc1
464410.0,36.125,22.1875,tc1
464460.0,36.125,22.1875,tc1
464510.0,36.125,22.1875,tc1
464560.0,36.125,22.1875,tc1
464610.0,36.125,22.1875,tc1
464660.0,36.125,22.1875,tc1
464710.0,36.125,22.1875,tc1
464760.0,36.125,22.1875,tc1
464810.0,36.125,22.125,tc1
464860.0,36.0625,22.125,tc1
464910.0,36.0625,22.125,tc1
464960.0,36.0625,22.125,tc1
465010.0,36.0625,22.125,tc1
465060.0,36.125,22.125,tc1
465110.0,36.125,22.125,tc1
465160.0,36.125,22.125,tc1
465210.0,36.125,22.125,tc1
465260.0,36.125,22.125,tc1
465310.0,36.0625,22.1875,tc1
465360.0,36.0625,22.1875,tc1
465410.0,36.0625,22.1875,tc1
465460.0,36.0625,22.1875,tc1
465510.0,36.0625,22.1875,tc1
465560.0,36.0625,22.1875,tc1
465610.0,36.0625,22.1875,tc1
465660.0,36.0625,22.1875,tc1
465710.0,36.0625,22.1875,tc1
465760.0,36.125,22.1875,tc1
465811.0,36.125,22.1875,tc1
465860.0,36.125,22.1875,tc1
465910.0,36.125,22.1875,tc1
465960.0,36.0625,22.1875,tc1
466010.0,36.0625,22.1875,tc1
466060.0,36.0625,22.1875,tc1
466110.0,36.0625,22.1875,tc1
466160.0,35.375,22.1875,tc1
466210.0,35.375,22.1875,tc1
466261.0,35.375,22.1875,tc1
466311.0,35.375,22.1875,tc1
466361.0,35.375,22.1875,tc1
466411.0,35.375,22.1875,tc1
466461.0,35.375,22.1875,tc1
466511.0,35.375,22.1875,tc1
466561.0,35.375,22.1875,tc1
466611.0,35.375,22.1875,tc1
466661.0,35.375,22.1875,tc1
466711.0,35.375,22.1875,tc1
466761.0,35.375,22.1875,tc1
466811.0,35.375,22.1875,tc1
466861.0,35.375,22.1875,tc1
466911.0,35.375,22.1875,tc1
466961.0,35.375,22.1875,tc1
467011.0,34.5625,22.1875,tc1
467061.0,34.5625,22.1875,tc1
467111.0,34.5625,22.1875,tc1
467161.0,34.5625,22.1875,tc1
467211.0,34.5625,22.1875,tc1
467261.0,34.5625,22.1875,tc1
467311.0,34.5625,22.1875,tc1
467361.0,34.5625,22.1875,tc1
467411.0,34.5625,22.1875,tc1
467461.0,34.5625,22.1875,tc1
467511.0,34.5625,22.1875,tc1
467561.0,34.5625,22.1875,tc1
467611.0,34.5625,22.1875,tc1
467661.0,34.5625,22.1875,tc1
467711.0,34.5625,22.1875,tc1
467761.0,34.5625,22.1875,tc1
467811.0,34.5625,22.1875,tc1
467861.0,34.5625,22.1875,tc1
467911.0,34.5625,22.1875,tc1
467962.0,34.5625,22.1875,tc1
468011.0,34.5625,22.1875,tc1
468061.0,34.5625,22.1875,tc1
468111.0,34.5625,22.1875,tc1
468161.0,34.5625,22.1875,tc1
468211.0,34.5625,22.1875,tc1
468262.0,34.5625,22.1875,tc1
468312.0,34.5625,22.1875,tc1
468362.0,34.5625,22.1875,tc1
468414.0,34.5625,22.1875,tc1
468462.0,34.5625,22.1875,tc1
468512.0,34.5625,22.1875,tc1
468562.0,34.5625,22.1875,tc1
468612.0,34.5625,22.1875,tc1
468662.0,34.5625,22.1875,tc1
468712.0,34.5625,22.1875,tc1
468762.0,34.5625,22.1875,tc1
468812.0,34.5625,22.1875,tc1
468862.0,34.5625,22.1875,tc1
468912.0,34.5625,22.1875,tc1
468962.0,34.5625,22.1875,tc1
469012.0,35.375,22.1875,tc1
469062.0,35.375,22.1875,tc1
469112.0,34.5625,22.1875,tc1
469162.0,34.5625,22.1875,tc1
469212.0,35.375,22.1875,tc1
469262.0,35.375,22.1875,tc1
469312.0,36.125,22.1875,tc1
469362.0,35.375,22.1875,tc1
469412.0,35.375,22.1875,tc1
469462.0,35.375,22.1875,tc1
469512.0,35.375,22.1875,tc1
469562.0,35.375,22.1875,tc1
469612.0,35.375,22.1875,tc1
469662.0,35.375,22.1875,tc1
469712.0,35.375,22.1875,tc1
469762.0,35.375,22.1875,tc1
469812.0,35.375,22.125,tc1
469862.0,35.375,22.125,tc1
469912.0,35.375,22.125,tc1
469962.0,35.375,22.125,tc1
470012.0,35.3125,22.125,tc1
470063.0,37.5625,22.125,tc1
470113.0,37.5625,22.125,tc1
470162.0,36.0625,22.125,tc1
470213.0,37.5625,22.125,tc1
470263.0,36.8125,22.125,tc1
470313.0,37.5625,22.1875,tc1
470363.0,36.0625,22.1875,tc1
470413.0,36.0625,22.1875,tc1
470463.0,36.0625,22.1875,tc1
470513.0,36.0625,22.1875,tc1
470563.0,36.0625,22.1875,tc1
470613.0,36.0625,22.1875,tc1
470663.0,36.0625,22.1875,tc1
470713.0,36.125,22.1875,tc1
470763.0,38.4375,22.1875,tc1
470813.0,36.875,22.1875,tc1
470863.0,36.125,22.1875,tc1
470913.0,36.125,22.1875,tc1
470963.0,36.125,22.1875,tc1
471013.0,36.125,22.1875,tc1
471063.0,36.125,22.1875,tc1
471113.0,37.625,22.1875,tc1
471163.0,36.125,22.1875,tc1
471213.0,38.4375,22.1875,tc1
471263.0,38.4375,22.1875,tc1
471313.0,36.1875,22.1875,tc1
471363.0,36.9375,22.1875,tc1
471413.0,36.9375,22.1875,tc1
471463.0,38.5,22.1875,tc1
471513.0,38.5,22.1875,tc1
471563.0,38.4375,22.1875,tc1
471613.0,38.4375,22.1875,tc1
471663.0,36.875,22.1875,tc1
471713.0,38.4375,22.1875,tc1
471763.0,36.875,22.1875,tc1
471813.0,36.875,22.1875,tc1
471863.0,36.875,22.1875,tc1
471913.0,36.875,22.1875,tc1
471963.0,36.875,22.1875,tc1
472013.0,36.875,22.1875,tc1
472063.0,36.875,22.1875,tc1
472113.0,36.875,22.1875,tc1
472163.0,37.625,22.1875,tc1
472213.0,36.875,22.1875,tc1
472264.0,37.625,22.1875,tc1
472314.0,37.625,22.1875,tc1
472364.0,38.4375,22.1875,tc1
472414.0,39.1875,22.1875,tc1
472464.0,37.625,22.1875,tc1
472514.0,39.1875,22.1875,tc1
472564.0,37.625,22.1875,tc1
472614.0,39.1875,22.1875,tc1
472664.0,39.1875,22.1875,tc1
472714.0,39.1875,22.1875,tc1
472764.0,39.1875,22.1875,tc1
472814.0,38.4375,22.1875,tc1
472864.0,39.9375,22.1875,tc1
472914.0,39.9375,22.1875,tc1
472964.0,39.9375,22.1875,tc1
473014.0,40.6875,22.1875,tc1
473064.0,40.6875,22.1875,tc1
473114.0,40.6875,22.1875,tc1
473164.0,40.6875,22.1875,tc1
473214.0,40.6875,22.1875,tc1
473264.0,40.6875,22.1875,tc1
473314.0,40.6875,22.1875,tc1
473364.0,40.6875,22.1875,tc1
473414.0,40.6875,22.1875,tc1
473464.0,38.4375,22.1875,tc1
473514.0,39.1875,22.1875,tc1
473564.0,39.1875,22.1875,tc1
473614.0,39.1875,22.1875,tc1
473664.0,39.1875,22.1875,tc1
473714.0,40.6875,22.1875,tc1
473764.0,41.4375,22.1875,tc1
473814.0,41.4375,22.1875,tc1
473864.0,41.4375,22.1875,tc1
473916.0,41.4375,22.1875,tc1
473964.0,42.25,22.1875,tc1
474014.0,42.25,22.1875,tc1
474064.0,42.25,22.1875,tc1
474114.0,42.25,22.1875,tc1
474164.0,42.25,22.1875,tc1
474214.0,42.25,22.1875,tc1
474265.0,43.0,22.1875,tc1
474315.0,43.0,22.1875,tc1
474365.0,43.0,22.1875,tc1
474415.0,43.0,22.1875,tc1
474465.0,43.0,22.1875,tc1
474515.0,43.0,22.1875,tc1
474565.0,43.0,22.1875,tc1
474615.0,43.75,22.1875,tc1
474665.0,43.75,22.1875,tc1
474715.0,43.75,22.1875,tc1
474765.0,43.75,22.1875,tc1
474815.0,43.75,22.1875,tc1
474865.0,43.75,22.1875,tc1
474915.0,43.75,22.1875,tc1
474965.0,43.75,22.1875,tc1
475015.0,43.75,22.1875,tc1
475065.0,42.25,22.1875,tc1
475115.0,44.5,22.1875,tc1
475165.0,43.75,22.1875,tc1
475215.0,43.75,22.1875,tc1
475265.0,44.5,22.1875,tc1
475315.0,43.75,22.1875,tc1
475365.0,44.5,22.1875,tc1
475415.0,44.5,22.1875,tc1
475465.0,44.5,22.1875,tc1
475515.0,43.0,22.1875,tc1
475565.0,44.5,22.1875,tc1
475615.0,45.25,22.1875,tc1
475665.0,45.25,22.1875,tc1
475715.0,45.25,22.1875,tc1
475765.0,45.25,22.1875,tc1
475815.0,44.5,22.1875,tc1
475865.0,43.75,22.1875,tc1
475917.0,44.5,22.1875,tc1
475965.0,45.25,22.1875,tc1
476015.0,45.25,22.1875,tc1
476065.0,46.0,22.1875,tc1
476115.0,46.0,22.1875,tc1
476165.0,46.0,22.1875,tc1
476215.0,46.0,22.1875,tc1
476266.0,46.0,22.1875,tc1
476316.0,46.0,22.1875,tc1
476366.0,46.8125,22.1875,tc1
476416.0,46.8125,22.1875,tc1
476466.0,46.8125,22.1875,tc1
476516.0,46.8125,22.1875,tc1
476566.0,46.8125,22.1875,tc1
476616.0,46.8125,22.1875,tc1
476667.0,46.8125,22.1875,tc1
476717.0,46.8125,22.1875,tc1
476767.0,46.8125,22.1875,tc1
476817.0,46.0,22.25,tc1
476867.0,46.8125,22.25,tc1
476917.0,47.5625,22.25,tc1
476967.0,47.5625,22.25,tc1
477017.0,47.5625,22.25,tc1
477067.0,46.0,22.25,tc1
477117.0,46.0625,22.25,tc1
477167.0,46.875,22.25,tc1
477217.0,46.0625,22.25,tc1
477267.0,46.875,22.25,tc1
477317.0,46.875,22.1875,tc1
477367.0,46.875,22.1875,tc1
477417.0,46.875,22.1875,tc1
477467.0,46.875,22.1875,tc1
477517.0,47.625,22.1875,tc1
477567.0,47.5625,22.1875,tc1
477617.0,47.5625,22.1875,tc1
477667.0,47.5625,22.1875,tc1
477717.0,47.5625,22.1875,tc1
477767.0,47.5625,22.1875,tc1
477817.0,48.3125,22.1875,tc1
477867.0,48.3125,22.1875,tc1
477917.0,48.3125,22.1875,tc1
477967.0,48.3125,22.1875,tc1
478017.0,48.3125,22.1875,tc1
478067.0,48.3125,22.1875,tc1
478117.0,48.3125,22.1875,tc1
478167.0,49.0625,22.1875,tc1
478217.0,49.0625,22.1875,tc1
478267.0,49.0625,22.1875,tc1
478317.0,49.0625,22.1875,tc1
478367.0,49.8125,22.1875,tc1
478417.0,51.3125,22.1875,tc1
478467.0,49.8125,22.1875,tc1
478517.0,49.8125,22.1875,tc1
478567.0,50.5625,22.1875,tc1
478617.0,51.3125,22.1875,tc1
478667.0,51.3125,22.1875,tc1
478717.0,50.5625,22.1875,tc1
478767.0,52.125,22.1875,tc1
478817.0,52.125,22.1875,tc1
478867.0,52.125,22.1875,tc1
478917.0,50.5625,22.1875,tc1
478967.0,52.125,22.1875,tc1
479017.0,52.125,22.1875,tc1
479067.0,52.875,22.1875,tc1
479117.0,51.3125,22.1875,tc1
479167.0,52.875,22.1875,tc1
479217.0,52.875,22.1875,tc1
479267.0,52.875,22.1875,tc1
479317.0,53.625,22.1875,tc1
479367.0,53.625,22.1875,tc1
479417.0,53.625,22.1875,tc1
479467.0,53.625,22.1875,tc1
479517.0,53.625,22.1875,tc1
479567.0,53.625,22.1875,tc1
479617.0,54.375,22.1875,tc1
479667.0,54.375,22.1875,tc1
479717.0,54.375,22.1875,tc1
479767.0,54.375,22.1875,tc1
479817.0,54.375,22.25,tc1
479867.0,54.375,22.25,tc1
479917.0,55.125,22.25,tc1
479967.0,55.125,22.25,tc1
480017.0,55.125,22.25,tc1
480067.0,55.125,22.25,tc1
480117.0,55.125,22.25,tc1
480167.0,55.9375,22.25,tc1
480217.0,55.9375,22.25,tc1
480268.0,55.9375,22.25,tc1
480318.0,55.9375,22.1875,tc1
480368.0,55.9375,22.1875,tc1
480420.0,55.9375,22.1875,tc1
480468.0,55.9375,22.1875,tc1
480518.0,56.6875,22.1875,tc1
480568.0,56.625,22.1875,tc1
480618.0,56.625,22.1875,tc1
480668.0,56.625,22.1875,tc1
480718.0,56.625,22.1875,tc1
480768.0,57.375,22.1875,tc1
480818.0,57.375,22.1875,tc1
480868.0,57.375,22.1875,tc1
480918.0,57.375,22.1875,tc1
480968.0,57.375,22.1875,tc1
481018.0,57.375,22.1875,tc1
481068.0,58.125,22.1875,tc1
481118.0,58.125,22.1875,tc1
481168.0,58.125,22.1875,tc1
481218.0,58.125,22.1875,tc1
481268.0,58.9375,22.1875,tc1
481318.0,58.9375,22.1875,tc1
481368.0,58.9375,22.1875,tc1
481418.0,58.9375,22.1875,tc1
481468.0,58.9375,22.1875,tc1
481518.0,59.6875,22.1875,tc1
481568.0,59.6875,22.1875,tc1
481618.0,59.6875,22.1875,tc1
481668.0,58.9375,22.1875,tc1
481718.0,58.9375,22.1875,tc1
481768.0,59.6875,22.1875,tc1
481818.0,60.4375,22.25,tc1
481868.0,60.5,22.25,tc1
